광역단체,기초단체,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,전송사업자명
충청남도,아산시,CGV 아산,6,636,0,6,1,0,0,CJ올리브네트웍스(주)
부산시,영도구,CGV 드라이브 인 영도,1,142,0,1,0,0,0,CJ올리브네트웍스(주)
서울시,광진구,CGV 건대입구,5,754,0,5,2,0,0,CJ올리브네트웍스(주)
충청남도,천안시,롯데시네마 천안불당,6,658,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
대구시,동구,롯데시네마 대구율하,6,"1,394",0,6,3,0,0,롯데컬처웍스(주)롯데시네마
서울시,광진구,롯데시네마 건대입구,10,"2,138",0,11,5,0,0,롯데컬처웍스(주)롯데시네마
제주도,제주시,롯데시네마 제주아라,6,592,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
제주도,제주시,롯데시네마 제주연동,6,755,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,양산시,롯데시네마 양산물금,5,454,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,김해시,롯데시네마 김해아울렛,6,"1,023",0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,사천시,롯데시네마 사천,6,629,0,6,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,통영시,롯데시네마 통영,7,858,0,7,2,0,0,롯데컬처웍스(주)롯데시네마
경상남도,진주시,롯데시네마 엠비씨네(진주),9,943,0,9,3,0,0,롯데컬처웍스(주)롯데시네마
경상남도,창원시 성산구,롯데시네마 창원,7,"1,319",0,7,4,0,0,롯데컬처웍스(주)롯데시네마
경상북도,상주시,롯데시네마 상주,4,471,0,4,0,0,0,롯데컬처웍스(주)롯데시네마
경상북도,영천시,롯데시네마 영천,6,612,0,6,2,0,0,롯데컬처웍스(주)롯데시네마
경상북도,구미시,롯데시네마 구미공단,8,"1,204",0,8,2,0,0,롯데컬처웍스(주)롯데시네마
경상북도,구미시,롯데시네마 프리미엄구미센트럴,7,513,0,7,0,0,0,롯데컬처웍스(주)롯데시네마
경상북도,안동시,롯데시네마 프리미엄 안동,5,343,0,5,1,0,0,롯데컬처웍스(주)롯데시네마
경상남도,김해시,CGV 김해,9,"1,531",0,9,4,1,0,CJ올리브네트웍스(주)
경상북도,경주시,롯데시네마 경주,2,279,0,2,1,0,0,롯데컬처웍스(주)롯데시네마
경상북도,포항시,롯데시네마 포항,8,712,0,8,0,0,0,롯데컬처웍스(주)롯데시네마
전라북도,전주시,CGV 전주고사,8,"1,275",0,8,4,1,0,CJ올리브네트웍스(주)
전라북도,군산시,롯데시네마 군산나운,7,"1,085",0,7,2,0,0,롯데컬처웍스(주)롯데시네마
