province,brand
충청남도,CGV 아산
부산시,CGV 드라이브 인 영도
서울시,CGV 건대입구
충청남도,롯데시네마 천안불당
대구시,롯데시네마 대구율하
서울시,롯데시네마 건대입구
제주도,롯데시네마 제주아라
제주도,롯데시네마 제주연동
경상남도,롯데시네마 양산물금
경상남도,롯데시네마 김해아울렛
경상남도,롯데시네마 사천
경상남도,롯데시네마 통영
경상남도,롯데시네마 엠비씨네(진주)
경상남도,롯데시네마 창원
경상북도,롯데시네마 상주
경상북도,롯데시네마 영천
경상북도,롯데시네마 구미공단
경상북도,롯데시네마 프리미엄구미센트럴
경상북도,롯데시네마 프리미엄 안동
경상남도,CGV 김해
경상북도,롯데시네마 경주
경상북도,롯데시네마 포항
전라북도,CGV 전주고사
전라북도,롯데시네마 군산나운
전라북도,롯데시네마 전주(백화점)
충청남도,롯데시네마 당진
충청남도,롯데시네마 서산
충청북도,롯데시네마 충주
충청북도,롯데시네마 청주용암
서울시,롯데시네마 영등포
강원도,롯데시네마 동해
강원도,롯데시네마 남원주
강원도,롯데시네마 춘천
경기도,롯데시네마 향남
경기도,롯데시네마 동탄
경기도,롯데시네마 안성
경기도,롯데시네마 파주운정
경기도,롯데시네마 용인역북
경기도,롯데시네마 수지
경기도,롯데시네마 하남미사
경기도,롯데시네마 시흥장현
경기도,롯데시네마 시화
경기도,롯데시네마 마석
경기도,롯데시네마 별내
경기도,롯데시네마 구리아울렛
경기도,롯데시네마 주엽
충청북도,CGV 청주(서문)
강원도,CGV 원주
강원도,CGV 춘천
경기도,롯데시네마 라페스타(일산)
경기도,롯데시네마 안산(롯데마트)_Charlotte관
경기도,롯데시네마 안산
경기도,롯데시네마 안산고잔
경기도,롯데시네마 센트럴락(안산)
경기도,롯데시네마 송탄
경기도,롯데시네마 광명
경기도,롯데시네마 부천역
경상남도,메가박스 진주중안
경상남도,메가박스 양산
경상남도,메가박스 삼천포
경상남도,메가박스 창원
경상남도,메가박스 창원내서
경상남도,메가박스 마산
경상북도,메가박스 경북도청
경기도,CGV 부천역
경상북도,메가박스 경산하양
경상북도,메가박스 문경
경상북도,메가박스 구미강동
경상북도,메가박스 경주
경상북도,메가박스 포항
경상북도,메가박스 남포항
경기도,롯데시네마 안양(안양역)
경기도,롯데시네마 인덕원
경기도,CGV 평촌
경기도,롯데시네마 평촌(범계역)_Charlotte관
경기도,롯데시네마 평촌(범계역)
경기도,CGV 판교
경기도,롯데시네마 판교
경기도,롯데시네마 성남중앙
경기도,롯데시네마 북수원
경기도,롯데시네마 광교아울렛
광주시,CGV 광주상무
경기도,롯데시네마 수원
경기도,롯데시네마 서수원
울산시,롯데시네마 울산(백화점)
인천시,CGV 계양
울산시,롯데시네마 울산성남
대전시,롯데시네마 대전관저
대전시,롯데시네마 대전(백화점)
전라남도,메가박스 순천
전라북도,메가박스 전주혁신
전라남도,메가박스 여수웅천
전라북도,메가박스 전주송천
광주시,롯데시네마 수완
광주시,롯데시네마 광주광산
광주시,롯데시네마 충장로
서울시,롯데시네마 가양
인천시,롯데시네마 부평갈산
충청남도,메가박스 공주
충청남도,메가박스 천안
강원도,메가박스 원주센트럴
강원도,메가박스 춘천석사
경기도,메가박스 양주
경기도,메가박스 동탄
경기도,메가박스 김포한강신도시
경기도,메가박스 파주출판도시
경기도,메가박스 파주운정
대구시,CGV 대구
경기도,메가박스 용인기흥
경기도,메가박스 하남스타필드
서울시,메가박스 성수
경기도,메가박스 미사강변
경기도,메가박스 금정AK플라자
경기도,메가박스 남양주현대아울렛 스페이스원
경기도,메가박스 킨텍스
