brand,3D,4D,IMAX
CGV 아산,1,0,0
CGV 드라이브 인 영도,0,0,0
CGV 건대입구,2,0,0
롯데시네마 천안불당,2,0,0
롯데시네마 대구율하,3,0,0
롯데시네마 건대입구,5,0,0
롯데시네마 제주아라,2,0,0
롯데시네마 제주연동,2,0,0
롯데시네마 양산물금,1,0,0
롯데시네마 김해아울렛,2,0,0
롯데시네마 사천,1,0,0
롯데시네마 통영,2,0,0
롯데시네마 엠비씨네(진주),3,0,0
롯데시네마 창원,4,0,0
롯데시네마 상주,0,0,0
롯데시네마 영천,2,0,0
롯데시네마 구미공단,2,0,0
롯데시네마 프리미엄구미센트럴,0,0,0
롯데시네마 프리미엄 안동,1,0,0
CGV 김해,4,1,0
롯데시네마 경주,1,0,0
롯데시네마 포항,0,0,0
CGV 전주고사,4,1,0
롯데시네마 군산나운,2,0,0
롯데시네마 전주(백화점),4,0,0
롯데시네마 당진,2,0,0
롯데시네마 서산,3,0,0
롯데시네마 충주,1,0,0
롯데시네마 청주용암,2,0,0
롯데시네마 영등포,4,0,0
롯데시네마 동해,1,0,0
롯데시네마 남원주,1,0,0
롯데시네마 춘천,0,0,0
롯데시네마 향남,2,0,0
롯데시네마 동탄,2,0,0
롯데시네마 안성,0,0,0
롯데시네마 파주운정,2,0,0
롯데시네마 용인역북,2,0,0
롯데시네마 수지,4,0,0
롯데시네마 하남미사,1,0,0
롯데시네마 시흥장현,2,0,0
롯데시네마 시화,0,0,0
롯데시네마 마석,1,0,0
롯데시네마 별내,2,0,0
롯데시네마 구리아울렛,2,0,0
롯데시네마 주엽,0,0,0
CGV 청주(서문),3,0,0
CGV 원주,3,0,0
CGV 춘천,5,0,1
롯데시네마 라페스타(일산),0,0,0
롯데시네마 안산(롯데마트)_Charlotte관,0,0,0
롯데시네마 안산,3,0,0
롯데시네마 안산고잔,2,0,0
롯데시네마 센트럴락(안산),3,0,0
롯데시네마 송탄,2,0,0
롯데시네마 광명,2,0,0
롯데시네마 부천역,1,0,0
메가박스 진주중안,1,0,0
메가박스 양산,2,0,0
메가박스 삼천포,3,0,0
메가박스 창원,0,0,0
메가박스 창원내서,0,0,0
메가박스 마산,0,0,0
메가박스 경북도청,1,0,0
CGV 부천역,1,0,0
메가박스 경산하양,1,0,0
메가박스 문경,0,0,0
메가박스 구미강동,2,0,0
메가박스 경주,0,0,0
메가박스 포항,0,0,0
메가박스 남포항,1,0,0
롯데시네마 안양(안양역),3,0,0
롯데시네마 인덕원,0,0,0
CGV 평촌,3,0,0
롯데시네마 평촌(범계역)_Charlotte관,0,0,0
롯데시네마 평촌(범계역),4,1,0
CGV 판교,4,1,1
롯데시네마 판교,2,0,0
롯데시네마 성남중앙,4,0,0
롯데시네마 북수원,2,0,0
롯데시네마 광교아울렛,2,0,0
CGV 광주상무,1,0,0
롯데시네마 수원,3,1,0
롯데시네마 서수원,2,0,0
롯데시네마 울산(백화점),4,1,0
CGV 계양,5,1,0
롯데시네마 울산성남,2,0,0
롯데시네마 대전관저,2,0,0
롯데시네마 대전(백화점),2,0,0
메가박스 순천,7,0,0
메가박스 전주혁신,1,0,0
메가박스 여수웅천,1,0,0
메가박스 전주송천,6,0,0
롯데시네마 수완,4,1,0
롯데시네마 광주광산,1,0,0
롯데시네마 충장로,8,0,0
롯데시네마 가양,0,0,0
롯데시네마 부평갈산,2,0,0
메가박스 공주,3,0,0
메가박스 천안,0,0,0
메가박스 원주센트럴,1,0,0
메가박스 춘천석사,0,0,0
메가박스 양주,2,0,0
메가박스 동탄,2,0,0
메가박스 김포한강신도시,1,0,0
메가박스 파주출판도시,1,0,0
메가박스 파주운정,2,0,0
CGV 대구,0,1,1
메가박스 용인기흥,0,0,0
메가박스 하남스타필드,2,0,0
메가박스 성수,0,0,0
메가박스 미사강변,0,0,0
메가박스 금정AK플라자,0,0,0
메가박스 남양주현대아울렛 스페이스원,2,0,0
메가박스 킨텍스,0,0,0
메가박스 고양스타필드,0,0,0
메가박스 안산중앙,0,0,0
메가박스 부천스타필드시티,0,0,0
메가박스 의정부민락,2,0,0
롯데시네마 부평역사,2,0,0
롯데시네마 인천터미널,1,0,0
롯데시네마 대구현풍,1,0,0
CGV 서면상상마당,0,0,0
메가박스 영통,2,0,0
메가박스 수원호매실,0,0,0
메가박스 세종(조치원),2,0,0
메가박스 세종청사,0,0,0
메가박스 세종나성,0,0,0
메가박스 울산,1,0,0
롯데시네마 프리미엄 만경,0,0,0
롯데시네마 오투(부산대),2,0,0
롯데시네마 프리미엄 해운대(장산역),3,0,0
롯데시네마 동래,4,0,0
롯데시네마 서면(전포동),3,0,0
롯데시네마 부산본점,5,0,0
롯데시네마 광복,4,1,0
롯데시네마 대영,2,0,0
롯데시네마 강동,1,0,0
