brand,screens,seats
CGV 아산,6,636
CGV 드라이브 인 영도,1,142
CGV 건대입구,5,754
롯데시네마 천안불당,6,658
롯데시네마 대구율하,6,1394
롯데시네마 건대입구,10,2138
롯데시네마 제주아라,6,592
롯데시네마 제주연동,6,755
롯데시네마 양산물금,5,454
롯데시네마 김해아울렛,6,1023
롯데시네마 사천,6,629
롯데시네마 통영,7,858
롯데시네마 엠비씨네(진주),9,943
롯데시네마 창원,7,1319
롯데시네마 상주,4,471
롯데시네마 영천,6,612
롯데시네마 구미공단,8,1204
롯데시네마 프리미엄구미센트럴,7,513
롯데시네마 프리미엄 안동,5,343
CGV 김해,9,1531
롯데시네마 경주,2,279
롯데시네마 포항,8,712
CGV 전주고사,8,1275
롯데시네마 군산나운,7,1085
롯데시네마 전주(백화점),8,1632
롯데시네마 당진,7,704
롯데시네마 서산,7,945
롯데시네마 충주,5,746
롯데시네마 청주용암,8,1282
롯데시네마 영등포,7,1328
롯데시네마 동해,5,719
롯데시네마 남원주,7,687
롯데시네마 춘천,6,448
롯데시네마 향남,5,680
롯데시네마 동탄,6,1117
롯데시네마 안성,2,164
롯데시네마 파주운정,7,1238
롯데시네마 용인역북,7,1002
롯데시네마 수지,8,1331
롯데시네마 하남미사,8,890
롯데시네마 시흥장현,5,652
롯데시네마 시화,8,524
롯데시네마 마석,2,172
롯데시네마 별내,5,775
롯데시네마 구리아울렛,7,1115
롯데시네마 주엽,6,474
CGV 청주(서문),10,1821
CGV 원주,10,1947
CGV 춘천,12,1714
롯데시네마 라페스타(일산),8,745
롯데시네마 안산(롯데마트)_Charlotte관,1,32
롯데시네마 안산,7,1575
롯데시네마 안산고잔,7,1788
롯데시네마 센트럴락(안산),9,1429
롯데시네마 송탄,5,932
롯데시네마 광명,6,1042
롯데시네마 부천역,9,806
메가박스 진주중안,9,907
메가박스 양산,6,528
메가박스 삼천포,3,90
메가박스 창원,7,1104
메가박스 창원내서,5,497
메가박스 마산,6,1043
메가박스 경북도청,6,471
CGV 부천역,8,1119
메가박스 경산하양,5,573
메가박스 문경,3,259
메가박스 구미강동,6,976
메가박스 경주,3,359
메가박스 포항,7,868
메가박스 남포항,6,663
롯데시네마 안양(안양역),7,1114
롯데시네마 인덕원,6,916
CGV 평촌,10,1391
롯데시네마 평촌(범계역)_Charlotte관,1,30
롯데시네마 평촌(범계역),7,1492
CGV 판교,7,1282
롯데시네마 판교,7,1087
롯데시네마 성남중앙,9,1234
롯데시네마 북수원,5,640
롯데시네마 광교아울렛,6,889
CGV 광주상무,13,2527
롯데시네마 수원,8,1895
롯데시네마 서수원,6,791
롯데시네마 울산(백화점),9,1480
CGV 계양,8,1257
롯데시네마 울산성남,7,1123
롯데시네마 대전관저,7,1067
롯데시네마 대전(백화점),8,1144
메가박스 순천,7,920
메가박스 전주혁신,7,732
